index,O,F,M
515,7.49E-99,1.84E-12,1.00E+00
516,3.45E-68,1.80E-14,1.00E+00
517,0.00E+00,2.01E-10,1.00E+00
518,3.20E-142,1.00E+00,8.63E-24
519,5.51E-90,1.00E+00,1.47E-08
520,4.76E-77,2.34E-32,1.00E+00
521,1.02E-09,1.30E-31,1.00E+00
522,0.00E+00,1.00E+00,4.93E-131
523,0.00E+00,1.00E+00,1.01E-140
524,1.12E-91,1.00E+00,9.79E-07
525,0.00E+00,1.00E+00,2.68E-136
526,0.00E+00,9.21E-269,1.00E+00
527,4.12E-79,1.00E+00,2.25E-27
529,3.12E-113,1.56E-07,1.00E+00
530,2.95E-49,1.10E-03,9.99E-01
531,3.39E-48,1.00E+00,1.69E-06
532,6.51E-36,1.00E+00,2.38E-11
533,0.00E+00,1.00E+00,9.97E-33
534,2.89E-188,4.77E-01,5.23E-01
535,3.16E-143,3.78E-22,1.00E+00
536,3.92E-117,1.00E+00,3.11E-13
537,3.34E-65,2.46E-01,7.54E-01
538,0.00E+00,4.79E-44,1.00E+00
539,7.57E-45,5.88E-12,1.00E+00
540,0.00E+00,1.00E+00,2.98E-101
541,5.74E-169,4.64E-27,1.00E+00
542,1.42E-70,1.00E+00,1.25E-05
543,0.00E+00,3.33E-286,1.00E+00
544,0.00E+00,1.00E+00,7.41E-45
545,2.50E-171,4.58E-28,1.00E+00
547,0.00E+00,1.41E-67,1.00E+00
548,1.57E-173,4.65E-91,1.00E+00
549,1.26E-173,7.83E-10,1.00E+00
550,0,1,0
552,6.19E-166,7.50E-07,1.00E+00
553,2.94E-226,5.82E-60,1.00E+00
554,5.61E-86,9.05E-01,9.51E-02
555,7.74E-217,4.84E-37,1.00E+00
556,1.53E-205,6.94E-73,1.00E+00
557,0.00E+00,1.00E+00,1.38E-36
558,1.95E-59,2.80E-14,1.00E+00
559,4.91E-57,1.46E-06,1.00E+00
560,7.47E-110,1.00E+00,1.75E-10
561,2.17E-172,4.13E-37,1.00E+00
562,3.14E-40,1.00E+00,8.51E-05
563,0.00E+00,1.00E+00,3.07E-61
564,1.16E-101,1.00E+00,5.58E-10
565,4.12E-101,9.90E-01,1.04E-02
566,1.77E-195,1.00E+00,3.67E-22
567,4.41E-263,5.73E-16,1.00E+00
568,4.62252759e-319,6.44E-54,1.00E+00
569,0.00E+00,1.00E+00,3.67E-43
570,5.43E-148,6.04E-15,1.00E+00
571,0.00E+00,3.35E-294,1.00E+00
572,5.26E-155,1.00E+00,8.43E-21
573,1.23E-85,6.37E-07,1.00E+00
574,3.96E-163,3.10E-38,1.00E+00
575,0.00E+00,3.73E-30,1.00E+00
576,3.65E-134,2.54E-11,1.00E+00
577,3.40E-38,7.90E-01,2.10E-01
578,0.00E+00,7.81E-52,1.00E+00
579,1.16E-67,9.75E-01,2.53E-02
580,0.00E+00,1.00E+00,8.77E-93
581,0.00E+00,1.51E-08,1.00E+00
582,4.31E-192,1.00E+00,2.81E-11
583,2.71E-36,2.34E-08,1.00E+00
584,2.48E-79,2.68E-20,1.00E+00
585,1.40E-103,5.75E-08,1.00E+00
586,4.07E-210,6.15E-29,1.00E+00
587,2.83E-138,6.09E-07,1.00E+00
588,0.00E+00,1.00E+00,9.03E-175
589,0.00E+00,1.00E+00,2.06E-46
590,8.27E-240,9.29E-41,1.00E+00
591,1.97E-75,1.00E+00,6.16E-05
592,3.89E-106,1.19E-05,1.00E+00
593,4.83E-104,1.35E-04,1.00E+00
594,2.19E-293,3.23E-55,1.00E+00
595,0,0,1
596,0.00E+00,1.00E+00,1.10E-13
597,4.61E-228,2.55E-20,1.00E+00
598,0.00E+00,7.71E-128,1.00E+00
599,2.31E-198,2.64E-165,1.00E+00
600,0.00E+00,1.00E+00,1.53E-38
601,3.08E-167,7.02E-15,1.00E+00
602,3.29E-99,1.35E-24,1.00E+00
603,4.44659081e-323,1.00E+00,1.19E-24
604,0.00E+00,1.22E-25,1.00E+00
605,2.70E-252,1.00E+00,4.88E-23
606,9.52E-104,1.00E+00,5.40E-21
608,2.18E-133,1.00E+00,8.78E-11
609,2.01E-57,1.43E-04,1.00E+00
610,4.11E-205,1.00E+00,1.08E-09
611,7.73E-164,1.54E-04,1.00E+00
612,5.58E-244,6.24E-50,1.00E+00
613,6.30E-102,1.00E+00,5.58E-08
614,1.33E-60,1.60E-18,1.00E+00
615,0.00E+00,1.00E+00,8.54E-136
616,0.00E+00,1.82E-185,1.00E+00
617,0.00E+00,1.59E-208,1.00E+00
618,7.55E-50,2.83E-16,1.00E+00
619,0.00E+00,1.57E-232,1.00E+00
620,1.80E-102,2.74E-66,1.00E+00
621,0.00E+00,5.58E-49,1.00E+00
622,7.49E-43,1.64E-04,1.00E+00
623,3.77E-77,7.27E-19,1.00E+00
624,3.22E-44,3.11E-02,9.69E-01
625,1.32E-270,1.33E-28,1.00E+00
626,6.88628697e-319,8.43E-29,1.00E+00
627,9.48E-260,8.99E-09,1.00E+00
628,1.07E-57,6.97E-04,9.99E-01
629,0.00E+00,6.42E-109,1.00E+00
630,2.22E-185,1.00E+00,1.58E-25
631,1.15E-66,3.76E-15,1.00E+00
632,2.21E-183,2.60E-15,1.00E+00
633,0.00E+00,1.11E-26,1.00E+00
634,5.68E-22,1.00E+00,4.47E-07
635,0.00E+00,4.75E-94,1.00E+00
636,1.28E-81,6.42E-04,9.99E-01
637,2.41E-119,1.00E+00,6.44E-10
638,0,0,1
639,9.03E-56,1.16E-02,9.88E-01
640,0.00E+00,1.00E+00,3.07E-09
641,0.00E+00,4.27E-159,1.00E+00
642,0,1,0
643,0,0,1
644,5.49E-169,1.01E-06,1.00E+00
645,8.58E-106,2.99E-03,9.97E-01
646,3.01E-67,3.78E-09,1.00E+00
647,7.49E-200,1.94E-14,1.00E+00
648,1.34E-107,1.00E+00,3.28E-13
649,0.00E+00,1.00E+00,2.17E-85
650,0.00E+00,1.00E+00,1.62E-42
651,0.00E+00,1.00E+00,2.57E-205
652,0.00E+00,1.01E-290,1.00E+00
653,0,1,0
